date,value,indicator,entity
2021-11-07,70,Daily ICU occupancy,Bolivia
2021-11-08,65,Daily ICU occupancy,Bolivia
2021-11-09,66,Daily ICU occupancy,Bolivia
2021-11-10,71,Daily ICU occupancy,Bolivia
2021-11-11,77,Daily ICU occupancy,Bolivia
2021-11-12,81,Daily ICU occupancy,Bolivia
2021-11-13,80,Daily ICU occupancy,Bolivia
2021-11-14,71,Daily ICU occupancy,Bolivia
2021-11-15,80,Daily ICU occupancy,Bolivia
2021-11-16,80,Daily ICU occupancy,Bolivia
2021-11-17,82,Daily ICU occupancy,Bolivia
2021-11-18,84,Daily ICU occupancy,Bolivia
2021-11-19,91,Daily ICU occupancy,Bolivia
2021-11-20,91,Daily ICU occupancy,Bolivia
2021-11-21,94,Daily ICU occupancy,Bolivia
2021-11-22,94,Daily ICU occupancy,Bolivia
2021-11-23,91,Daily ICU occupancy,Bolivia
2021-11-24,91,Daily ICU occupancy,Bolivia
2021-11-25,94,Daily ICU occupancy,Bolivia
2021-11-26,94,Daily ICU occupancy,Bolivia
2021-11-27,100,Daily ICU occupancy,Bolivia
2021-11-28,95,Daily ICU occupancy,Bolivia
2021-11-29,98,Daily ICU occupancy,Bolivia
2021-11-30,95,Daily ICU occupancy,Bolivia
2021-12-01,98,Daily ICU occupancy,Bolivia
2021-12-02,99,Daily ICU occupancy,Bolivia
2021-12-03,93,Daily ICU occupancy,Bolivia
2021-12-04,96,Daily ICU occupancy,Bolivia
2021-12-05,94,Daily ICU occupancy,Bolivia
2021-12-06,99,Daily ICU occupancy,Bolivia
2021-12-07,93,Daily ICU occupancy,Bolivia
2021-12-08,86,Daily ICU occupancy,Bolivia
2021-12-09,96,Daily ICU occupancy,Bolivia
2021-12-10,103,Daily ICU occupancy,Bolivia
2021-12-11,94,Daily ICU occupancy,Bolivia
2021-12-12,93,Daily ICU occupancy,Bolivia
2021-12-13,105,Daily ICU occupancy,Bolivia
2021-12-14,103,Daily ICU occupancy,Bolivia
2021-12-15,110,Daily ICU occupancy,Bolivia
